name,id,abrrev
Genesis,1,GEN
Exodus,2,EXOD
Leviticus,3,LEV
Numbers,4,NUM
Deuteronomy,5,DEUT
Joshua,6,JOSH
Judges,7,JUDG
Ruth,8,RUTH
1 Samuel,9,1SAM
2 Samuel,10,2SAM
1 Kings,11,1KGS
2 Kings,12,2KGS
1 Chronicles,13,1CHRO
2 Chronicles,14,2CHRO
Ezra,15,EZRA
Nehemiah,16,NEH
Esther,19,ESTH
Job,22,JOB
Psalm,23,PSA
Proverbs,24,PROV
Ecclesiastes,25,ECC
Song of Solomon,26,SONG
Isaiah,29,ISA
Jeremiah,30,JER
Lamentations,31,LAM
Ezekiel,33,EZEK
Daniel,34,DAN
Hosea,35,HOSEA
Joel,36,JOEL
Amos,37,AMOS
Obadiah,38,OBAD
Jonah,39,JONAH
Micah,40,MICAH
Nahum,41,NAHUM
Habakkuk,42,HAB
Zephaniah,43,ZEPH
Haggai,44,HAG
Zechariah,45,ZECH
Malachi,46,MAL
Matthew,47,MATT
Mark,48,MARK
Luke,49,LUKE
John,50,JOHN
Acts,51,ACTS
Romans,52,ROM
1 Corinthians,53,1COR
2 Corinthians,54,2COR
Galatians,55,GAL
Ephesians,56,EPH
Philippians,57,PHIL
Colossians,58,COL
1 Thessalonians,59,1THES
2 Thessalonians,60,2THES
1 Timothy,61,1TIM
2 Timothy,62,2TIM
Titus,63,TIT
Philemon,64,PHILE
Hebrews,65,HEB
James,66,JAS
1 Peter,67,1PET
2 Peter,68,2PET
1 John,69,1JOHN
2 John,70,2JOHN
3 John,71,3JOHN
Jude,72,JUDE
Revelation,73,REV
